id,id_property,area,floor,char_view,char_general,char_bathroom,bed_linen,towels,dish_towels,beds_basic,beds_additional,broj_kreveta,broj_pom_kreveta,max_odraslih,min_ljudi,min_boravak
3622,1817,50.0,0,,"terrace,sattv",,included,included,included,2,1,0,0,0,0,0
3623,1817,100.0,1,,"balcony,terrace,air_condition,washing_machine,sattv,internet_wireless,refrigerator,dishwasher,dishes,microwave,coffee,tea,stove,toaster",,included,included,included,4,0,0,0,0,0,0
23113,1817,100.0,2,,"balcony,air_condition,washing_machine,sattv,internet_wireless,refrigerator,dishes,microwave,coffee,tea,stove",,included,included,included,4,0,0,0,0,0,0
3624,1818,50.0,2,,"balcony,terrace,air_condition,washing_machine,sattv,internet_wireless,refrigerator,dishwasher,outdoor_dining_area,grilling_not_allowed,outside_shower,dishes,cooking_electric,microwave,coffee,tea,stove,toaster",,included,included,included,4,0,0,0,0,0,0
3625,1819,130.0,3,"view_sea,view_street_quiet","balcony,terrace,air_condition,heating,iron,hairdryer,sattv",,included,included,included,8,0,0,0,0,0,0
3626,1819,60.0,1,"view_sea,view_forest,view_street_quiet","balcony,air_condition,heating,hairdryer,sattv",,included,included,included,2,0,0,0,0,0,0
3628,1819,45.0,2,"view_sea,view_forest,view_street_quiet","balcony,air_condition,heating,hairdryer,sattv",,included,included,included,2,0,0,0,0,0,0
3629,1819,35.0,1,"view_garden,view_back_building","terrace,air_condition,heating,hairdryer,sattv",,included,included,included,2,2,0,0,0,0,0
3630,1819,60.0,2,"view_sea,view_forest","balcony,air_condition,heating,hairdryer,sattv",,included,included,included,2,0,0,0,0,0,0
3631,1819,45.0,2,"view_sea,view_forest","balcony,air_condition,heating,hairdryer,sattv",,included,included,included,2,0,0,0,0,0,0
3632,1819,35.0,2,view_forest,"balcony,air_condition,heating,hairdryer,sattv",,included,included,included,2,2,0,0,0,0,0
18177,1819,35.0,1,"view_garden,view_back_building","terrace,air_condition,sattv",,included,included,included,2,0,0,0,0,0,0
18178,1819,35.0,2,"view_garden,view_back_building","terrace,air_condition,sattv",,included,included,included,2,0,0,0,0,0,0
3633,1820,45.0,2,,"balcony,terrace,air_condition,heating,sattv,internet_wireless,refrigerator,private_barbecue,dishes,microwave,coffee,stove",,included,included,included,2,2,0,0,0,0,0
3634,1820,22.0,2,,"balcony,terrace,air_condition,heating,sattv,internet_wireless,refrigerator,private_barbecue,dishes,cooking_electric,microwave,coffee,stove",,included,included,included,2,0,0,0,0,0,0
3635,1820,45.0,2,,"balcony,terrace,air_condition,heating,sattv,internet_wireless,refrigerator,private_barbecue,outdoor_dining_area,dishes,cooking_electric,microwave,coffee",,included,included,included,4,0,0,0,0,0,0
3636,1820,75.0,3,,"balcony,terrace,air_condition,heating,washing_machine,sattv,internet_wireless,refrigerator,outdoor_dining_area,dishes,cooking_electric,microwave,coffee",,included,included,included,2,2,0,0,0,0,0
3637,1820,45.0,1,view_back_building,"terrace,air_condition,heating,sattv,internet_network",,included,included,included,2,2,0,0,0,0,0
3638,1820,25.0,0,"view_garden,view_back_building","terrace,air_condition,heating,sattv,internet_network",,included,included,included,2,1,0,0,0,0,0
18256,1820,45.0,0,,"balcony,terrace,air_condition,heating,sattv,internet_wireless,refrigerator,private_barbecue,outdoor_dining_area,dishes,cooking_electric,microwave,coffee,stove",,included,included,included,2,2,0,0,0,0,0
18264,1820,22.0,0,,"terrace,air_condition,heating,sattv,internet_wireless,refrigerator,private_barbecue,outdoor_dining_area,dishes,cooking_electric,microwave,coffee",,included,included,included,2,0,0,0,0,0,0
3654,1829,50.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,4,1,0,0,0,0,0
3655,1829,28.0,0,,"terrace,sattv,internet_wireless,refrigerator,private_barbecue,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,3,0,0,0,0,0,0
3656,1831,65.0,0,"view_park,view_street_quiet","balcony,air_condition,heating,sattv",,included,included,included,2,2,0,0,0,0,0
3659,1831,104.0,3,"view_sea,view_park,view_street_quiet","balcony,air_condition,heating,sattv",,included,included,included,4,0,0,0,0,0,0
3877,1831,65.0,0,view_street_quiet,"balcony,air_condition,heating,sattv",,included,included,included,2,2,0,0,0,0,0
3879,1831,60.0,1,,"balcony,terrace,air_condition,heating,washing_machine,sattv,safe,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea,stove,toaster",,included,included,included,2,2,0,0,0,0,0
3880,1831,65.0,1,,"terrace,air_condition,sattv,safe,internet_wireless,refrigerator,outdoor_dining_area,dishes,cooking_electric,microwave,coffee,tea,stove,toaster",,included,included,included,2,2,0,0,0,0,0
3881,1831,60.0,2,,"balcony,terrace,air_condition,heating,washing_machine,sattv,safe,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea,stove,toaster",,included,included,included,2,2,0,0,0,0,0
3882,1831,60.0,2,,"balcony,air_condition,heating,washing_machine,sattv,safe,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea,stove,toaster",,included,included,included,2,2,0,0,0,0,0
22847,1831,104.0,3,,"balcony,air_condition,heating,washing_machine,sattv,safe,internet_wireless,refrigerator,dishwasher,dishes,freezer,cooking_electric,coffee,tea,stove,toaster",,included,included,included,4,0,0,0,0,0,0
24478,1831,60.0,0,,"terrace,air_condition,heating,sattv,safe,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea,stove,toaster",,included,included,included,2,2,0,0,0,0,0
3660,1832,60.0,0,,"terrace,air_condition,heating,washing_machine,tv,sattv,safe,internet_wireless,refrigerator,dishes,cooking_electric,coffee,stove,toaster",,included,included,included,2,2,0,0,0,0,0
3883,1832,60.0,0,,"terrace,air_condition,heating,washing_machine,tv,sattv,safe,internet_wireless,refrigerator,dishes,cooking_electric,coffee,stove,toaster",,included,included,included,2,2,0,0,0,0,0
3886,1832,60.0,2,,"balcony,air_condition,heating,washing_machine,tv,sattv,safe,internet_wireless,refrigerator,dishes,cooking_electric,coffee,tea,stove,toaster",,included,included,included,2,2,0,0,0,0,0
3915,1832,60.0,0,,"balcony,air_condition,heating,washing_machine,tv,sattv,safe,internet_wireless,refrigerator,dishes,cooking_electric,coffee,stove,toaster",,included,included,included,2,2,0,0,0,0,0
3917,1832,65.0,2,"view_sea,view_street_quiet,view_garden","terrace,air_condition,heating,sattv",,included,included,included,2,2,0,0,0,0,0
3918,1832,60.0,2,,"balcony,air_condition,heating,washing_machine,tv,sattv,safe,internet_wireless,refrigerator,dishes,cooking_electric,coffee,stove,toaster",,included,included,included,2,2,0,0,0,0,0
25472,1832,104.0,0,,"balcony,air_condition,heating,sattv,safe,internet_wireless,refrigerator,dishwasher,dishes,freezer,cooking_electric,coffee,tea,toaster",,included,included,included,4,0,0,0,0,0,0
3691,1844,90.0,1,"view_sea,view_center","balcony,terrace,air_condition,heating,sattv,internet_wireless",,included,included,included,5,0,0,0,0,0,0
3697,1846,75.0,0,,"balcony,terrace,air_condition,washing_machine,sattv,internet_wireless,refrigerator,dishes,coffee,stove",,included,included,included,4,1,0,0,0,0,0
3707,1850,50.0,0,"view_garden,view_back_building","terrace,air_condition,washing_machine,tv,sattv,internet_wireless,refrigerator,dishwasher,clothesdryer,freezer,oven,coffee,tea,stove,cooking_highchair",,included,included,included,4,1,0,0,0,0,0
3708,1850,39.0,1,"view_sea,view_street_quiet,view_garden","balcony,air_condition,tv,sattv,internet_wireless,refrigerator,clothesdryer,microwave,coffee,tea,stove,cooking_highchair",,included,included,included,2,1,0,0,0,0,0
3744,1852,82.0,1,,"balcony,air_condition,washing_machine,sattv,internet_wireless,refrigerator,dishwasher,outside_shower,dishes,cooking_electric,microwave,coffee,tea,toaster,cooking_highchair",,included,included,included,4,1,0,0,0,0,0
